name,description
"MI D2 ARPSC Level 2 Completion","Required. Evaluation: Documentation."
"IS-120 - An Introduction to Exercises","Required. Evaluation: Documentation."
"IS-230 - Fundamentals of Emergency Management","Required. Evaluation: Documentation."
"IS-235 - Emergency Planning","Required. Evaluation: Documentation."
"IS-240 - Leadership & Influence","Required. Evaluation: Documentation."
"IS-241 - Decision Making & Problem Solving","Required. Evaluation: Documentation."
"IS-242 - Effective Communications","Required. Evaluation: Documentation."
"IS-244 - Developing & Managing Volunteers","Required. Evaluation: Documentation."
"IS-288 - Role of Voluntary Organizations in Emergency Management","Required. Evaluation: Documentation."
"IS-2200 - Basic Emergency Operations Center Functions","Required. Evaluation: Documentation."
"ARRL Advanced EmComm Course","Advised. Evaluation: Documentation."
"ARRL PR-101 - Public Information Officer Training (EC-015)","Optional. Evaluation: Documentation."
"Completion of MICIMS Course","Advised. Evaluation: Documentation."
"Michigan AUXCOM Course","Advised. Evaluation: Documentation."
"ICS-300 - Incident Command System for Expanding Incidents","Advised. Evaluation: Documentation."
"ICS-400 - Advanced Incident Command System","Advised. Evaluation: Documentation."
"MI All-Hazards COML Qualification (Communications Unit Leader)","Optional. Evaluation: Documentation."
"MI All-Hazards COMT Qualification (Communications Unit Technician)","Optional. Evaluation: Documentation."
"Net Participation - Check-In (Average Once per Month)","Required. Evaluation: Observation."
"Net Participation - Net Control (Average Twice per Year)","Required. Evaluation: Observation."
"Public Service Event Participation (Annually)","Required. Evaluation: Observation."
"Simulated Emergency Test or Exercise Participation (Annually)","Required. Evaluation: Observation."
"Proficient operating a Net Control station","Required. Evaluation: Observation."
"Present a training session","Required. Evaluation: Observation."
"Hold/held a leadership position in a group","Advised. Evaluation: Interview/Observation."
"Successfully plan, coordinate, and lead a scheduled public service event","Required. Evaluation: Interview/Observation."
"Hold a General Class License or higher","Required. Evaluation: Documentation."
"Proficient in using ICS forms (Min: ICS 205, 213, 213RR, 214, 217A)","Required. Evaluation: Observation."
"Operate VHF Digital messaging station Peer-to-Peer","Required. Evaluation: Observation."
"Operate VHF Digital messaging station using WinLink RMS","Required. Evaluation: Observation."
"Operate HF Digital Mode Messaging Station","Required. Evaluation: Observation."
"Program cross band repeat on Mobile Radio (UHF/VHF)","Optional. Evaluation: Observation."
